ep,seed,reward,floor_reached,victory,turns,cards_played,final_hp,final_san
519,20519,30.710000000000008,10,False,15,43,-1,8
520,20520,61.85000000000002,10,True,15,52,24,17
521,20521,35.92000000000002,10,False,23,65,-2,16
522,20522,63.400000000000006,10,True,14,45,11,30
523,20523,62.0,10,True,13,44,6,20
524,20524,61.14999999999999,10,True,15,37,27,21
525,20525,58.8,10,True,21,53,7,4
526,20526,60.8,10,True,13,37,27,30
527,20527,24.000000000000043,8,False,16,52,9,-1
528,20528,64.0,10,True,15,47,3,18
529,20529,35.650000000000006,10,False,17,46,-7,28
530,20530,62.849999999999994,10,True,15,55,20,22
531,20531,32.37999999999999,10,False,19,47,-16,25
532,20532,62.75000000000001,10,True,12,45,24,10
533,20533,60.349999999999994,10,True,17,45,2,23
534,20534,31.200000000000014,10,False,15,41,-1,16
535,20535,62.849999999999994,10,True,11,44,7,29
536,20536,60.850000000000016,10,True,13,46,25,6
537,20537,64.39999999999999,10,True,18,46,26,22
538,20538,32.84999999999999,10,False,15,35,-5,30
539,20539,62.989999999999995,10,True,21,64,5,19
540,20540,63.25,10,True,19,47,22,24
541,20541,61.37999999999998,10,True,13,35,11,23
542,20542,61.30000000000001,10,True,13,44,26,4
543,20543,66.14999999999998,10,True,21,58,22,26
544,20544,62.34999999999998,10,True,13,38,7,24
545,20545,64.23,10,True,11,36,38,19
546,20546,32.52999999999999,10,False,11,38,-1,30
547,20547,62.74999999999997,10,True,14,45,25,26
548,20548,31.040000000000006,10,False,18,53,-13,20
549,20549,66.02999999999999,10,True,11,38,26,5
550,20550,60.20000000000003,10,True,18,56,31,-1
551,20551,35.19999999999998,10,False,16,49,-2,29
552,20552,32.65000000000001,10,False,17,47,-1,28
553,20553,62.8,10,True,14,46,38,5
554,20554,62.85000000000001,10,True,15,44,30,26
555,20555,33.03000000000001,10,False,18,49,-4,19
556,20556,61.62999999999998,10,True,20,56,8,13
557,20557,64.40000000000003,10,True,23,59,10,27
558,20558,64.05000000000001,10,True,19,43,33,14
559,20559,59.81,10,True,17,44,5,15
